days_since_cleaning,added_fuel_cost_usd_per_day,added_power_kw,added_power_pct
104,703.4731681200423,155.87129935861662,4.628007700671515
105,776.1387262140246,162.67799580203723,4.830106763718446
106,783.8541125775272,168.2015305291551,4.9941072009844145
107,907.6012825484697,173.72506525627296,5.158107638250384
108,1046.1379691803816,179.24859998339082,5.322108075516355
109,989.7533262455673,184.77213471050868,5.486108512782324
110,1130.3093186157091,190.29566943762654,5.650108950048294
111,1277.307271353331,195.81920416474438,5.8141093873142635
112,1430.7471844584334,201.34273889186224,5.978109824580232
113,1211.3824254919136,206.8662736189801,6.142110261846202
114,995.5902990212944,212.38980834609796,6.306110699112172
115,1035.471533085749,217.9133430732158,6.470111136378141
116,1076.061952936648,223.43687780033366,6.634111573644111
117,1117.3615585739906,228.96041252745152,6.7981120109100805
118,1159.370349997778,234.4839472545694,6.962112448176051
119,1179.8396749174235,240.00748198168725,7.126112885442021
120,1199.0220472699696,245.3321198737338,7.284207834730813
121,1217.8758378244927,250.6516033460631,7.44214974305413
122,1236.426384911421,255.97108681839234,7.600091651377444
123,1254.6736885307546,261.2905702907216,7.75803355970076
124,1272.6177486824934,266.61005376305087,7.915975468024075
125,1331.1453771538265,271.92953723538017,8.073917376347392
126,1417.1797504314154,277.2490207077094,8.231859284670707
127,1516.067383722722,282.56850418003864,8.389801192994021
128,1439.5053735355352,287.8879876523679,8.547743101317336
129,1555.8520891836847,293.2074711246971,8.705685009640652
130,1493.460412942534,298.5269545970265,8.86362691796397
131,1509.339544150264,303.8464380693557,9.021568826287284
132,1518.1515904909238,309.16592154168495,9.179510734610599
133,1568.3763235033548,314.2809536423458,9.331382234036397
134,1532.4134206102947,319.0932709213891,9.4742657636992
135,1532.5581389650554,323.90558820043236,9.617149293362006
136,1519.3274639497797,328.7179054794757,9.760032823024813
137,1538.744378290335,333.530222758519,9.90291635268762
138,1615.689091915664,343.7954847965792,10.207704417950689
139,1699.2923924447405,360.15097069448956,10.693318607318574
140,1699.5476209434303,376.5064565923999,11.178932796686459
141,1809.1665642938117,392.8619424903103,11.664546986054344
142,1879.4486210145876,409.2174283882206,12.150161175422227
143,2038.6640860186442,425.572914286131,12.635775364790112
144,2191.3945551902734,441.92840018404127,13.121389554157995
145,2250.238704704622,458.28388608195166,13.60700374352588
146,2336.6538845736304,474.63937197986206,14.092617932893766
147,2457.714479100274,490.99485787777235,14.57823212226165
148,2277.5518805793886,507.35034377568275,15.063846311629536
149,2064.3763944846214,523.705829673593,15.549460500997418
150,2323.8443035386013,540.0613155715034,16.035074690365303
151,2394.1895524808174,556.4168014694137,16.520688879733186
152,2695.65015779417,572.7722873673241,17.006303069101072
153,2749.0180618236177,589.1277732652344,17.491917258468956
154,2801.0752421896664,605.4832591631448,17.977531447836842
155,2851.821698892317,621.8387450610552,18.463145637204725
156,2901.257431931568,638.1942309589655,18.94875982657261
157,2949.3824413074212,654.5497168568759,19.434374015940495
158,3001.5097582409194,672.094891087482,19.955311493096257
159,3057.674857640247,690.8700820688415,20.512769657625935
160,3112.335318947029,709.6452730502011,21.070227822155616
161,3165.491142161264,728.4204640315606,21.62768598668529
162,3217.1423272829534,747.1956550129202,22.18514415121497
163,3267.288874312098,765.9708459942798,22.74260231574465
164,3315.9307832486957,784.7460369756393,23.300060480274325
165,3363.0680540927474,803.5212279569988,23.857518644804003
166,3408.7006868442527,822.2964189383584,24.414976809333684
167,3452.828681503212,841.071609919718,24.97243497386336
168,3495.452038069626,859.8468009010776,25.52989313839304
169,3536.5707565434936,878.6219918824371,26.087351302922716
170,3576.184836924815,897.3971828637967,26.644809467452397
171,3614.2942792135905,916.1723738451562,27.202267631982075
172,3650.899083409821,934.9475648265158,27.759725796511752
173,3685.9992495135048,953.7227558078754,28.31718396104143
174,3719.5947775246423,972.4979467892349,28.87464212557111
175,3751.685667443234,991.2731377705944,29.43210029010078
176,3819.486100146664,1010.048328751954,29.989558454630465
177,4034.730244907399,1028.8235197333136,30.54701661916014
178,4179.677606986045,1047.598710714673,31.104474783689817
179,4633.758796535169,1066.3739016960326,31.661932948219494
180,4478.095454711761,1079.604544090709,32.05476674853649
